Field,ID,Type (Tipo),default
Description,2,Texto,"O Desky e o cliente desktop definitivo para a plataforma de estudos Yeolpumta (YPT), desenvolvido para Windows 10 e Windows 11 com interface otimizada para foco profundo e alto desempenho.

Principais Recursos:

Cronometro de Estudo e Pomodoro
- Modos Normal e Pomodoro personalizaveis (tempo de foco, intervalos curtos e longos).
- Gestao completa de materias com paleta de cores vibrante.
- Registro de estudos manual e sincronizacao inteligente em nuvem.

Grupos de Estudo e Live Study
- Acompanhe a presenca dos seus colegas em tempo real.
- Live Study com verificacao por camera e fotos periodicas.
- Chat integrado do grupo com reacoes em emoji e suporte a figurinhas.
- Envie toques motivacionais (Shakes) para incentivar seus amigos.

Estatisticas, Heatmap e Rankings
- Heatmap anual no estilo GitHub para visualizar sua constancia diaria.
- Calendario mensal detalhado com streaks de ofensiva (chamas).
- Rankings em tempo real: global, nacional e por categoria de estudo.

Modo Foco e Bloqueador de Distracoes
- Deteccao e alertas automaticos de programas nao autorizados abertos durante o estudo.
- Mini Player flutuante Always-on-Top para acompanhar seu tempo enquanto le ou assiste a aulas.

Flashcards e SmartBook (Leitor de PDF)
- Decks organizados com algoritmo de repeticao espacada SM-2.
- Leitor de PDF integrado com marcadores e criacao rapida de flashcards.

Planejador e Metas (D-Day)
- Contagens regressivas visuais para suas provas, concursos e vestibulares.
- To-Do list inteligente com niveis de prioridade e prazos.
- Grade de horarios semanal personalizavel.

Design Moderno AMOLED True Black
- Interface inspirada no Material Design 3 e Fluent Design, com tema escuro profundo para maximo conforto visual.
- Suporte completo a multiplos idiomas."
ReleaseNotes,3,Texto,"Versao 1.0.0:
- Lancamento oficial do Desky para Microsoft Store no Windows 10/11 (x64).
- Novo design moderno AMOLED True Black com interface Material Design 3.
- Cronometro de Estudo e Pomodoro com suporte a materias personalizadas.
- Grupos de estudo em tempo real, chat com emojis e Live Study.
- Activity Heatmap anual e rankings globais/nacionais.
- Bloqueador de distracoes e Mini Player flutuante Always-on-Top.
- Flashcards com algoritmo SM-2 e leitor de PDF integrado.
- Sincronizacao em nuvem e suporte nativo a multiplos idiomas."
Title,4,Texto,Desky
ShortTitle,5,Texto,Desky
SortTitle,6,Texto,Desky
VoiceTitle,7,Texto,Desky
ShortDescription,8,Texto,"O cliente desktop definitivo para foco, cronometro Pomodoro e grupos de estudo do Yeolpumta no Windows."
DevStudio,9,Texto,DevHuney
CopyrightTrademarkInformation,12,Texto,Copyright (c) 2026 DevHuney. Desky e um cliente independente e de codigo aberto.
AdditionalLicenseTerms,13,Texto,https://github.com/huneyoliv/desky/blob/main/LICENSE
